ext_id,Latitude,Longitude,label,label_category,lat_grid,lon_grid
19037,-37.80678999958366,144.9724319998844,0.978,Low,-37.807,144.972
19898,-37.80532000014761,144.9711900003934,9.775,Low,-37.805,144.971
17176,-37.806280999958624,144.9713750002597,2.248,Low,-37.806,144.971
17218,-37.80640799996563,144.97135499953444,0.489,Low,-37.806,144.971
16655,-37.80614399964596,144.97119099998113,6.061,Low,-37.806,144.971
16816,-37.805725000198976,144.9712220000596,14.272,Medium,-37.806,144.971
19681,-37.80552599955465,144.97205000002475,1.76,Low,-37.806,144.972
16945,-37.80571000007121,144.97143599995837,14.663,Medium,-37.806,144.971
16952,-37.8057219995636,144.971438999537,26.197,Medium,-37.806,144.971
20324,-37.805364999684514,144.969619999791,0.684,Low,-37.805,144.97
19975,-37.80540799968306,144.97094199971414,0.978,Low,-37.805,144.971
17809,-37.806591000059,144.96984899972492,7.331,Low,-37.807,144.97
17497,-37.80715700033785,144.97119999971744,5.474,Low,-37.807,144.971
17615,-37.80695899949552,144.96933800013684,11.241,Medium,-37.807,144.969
17619,-37.806951000059975,144.9693479999656,15.836,Medium,-37.807,144.969
22455,-37.82082300030886,144.9482059996392,10.362,Medium,-37.821,144.948
23194,-37.81288499973776,144.98898300029998,0.196,Low,-37.813,144.989
23387,-37.81288100018697,144.98906699958857,0.196,Low,-37.813,144.989
23495,-37.81288700004352,144.98911200026362,0.196,Low,-37.813,144.989
22136,-37.82011700012181,144.9507899999857,69.11,High,-37.82,144.951
106001,-37.819166999720565,144.94724700031887,86.608,High,-37.819,144.947
106024,-37.81911699985047,144.94718900017287,13.196,Medium,-37.819,144.947
211,-37.81374000003306,144.94213200048887,6.549,Low,-37.814,144.942
228,-37.81376600032476,144.94215899987515,5.865,Low,-37.814,144.942
112,-37.813580000042975,144.94184999974925,44.868,High,-37.814,144.942
115,-37.81358400014268,144.9418569995987,42.131,High,-37.814,144.942
31,-37.81344099989329,144.9417250000971,26.588,Medium,-37.813,144.942
514,-37.802294000008,144.96590199975492,2.835,Low,-37.802,144.966
533,-37.80229200000738,144.96592399986525,0.489,Low,-37.802,144.966
792,-37.802543999528936,144.96579000028507,7.429,Low,-37.803,144.966
388,-37.81401399970823,144.9425580005068,17.791,Medium,-37.814,144.943
472,-37.81408800021958,144.94277100010345,99.316,High,-37.814,144.943
571,-37.80231200015153,144.96600999980728,2.933,Low,-37.802,144.966
576,-37.80231600003207,144.9660250002836,6.745,Low,-37.802,144.966
